1,1,1.61,1,FALSE,162,142,2,8.5,0.5,0.5,0,0,0.3,9.8,1/01/2018 0:31,1/01/2018 0:40,9
1,0,1.3,1,FALSE,75,74,2,6.5,0.5,0.5,0,0,0.3,7.8,1/01/2018 0:52,1/01/2018 0:58,5
2,1,1.29,1,FALSE,249,79,1,7.5,0.5,0.5,1.76,0,0.3,10.56,1/01/2018 0:38,1/01/2018 0:46,8
1,2,0.6,1,FALSE,43,161,2,8,0.5,0.5,0,0,0.3,9.3,1/01/2018 0:20,1/01/2018 0:31,10
2,4,1.97,1,FALSE,7,260,1,8.5,0.5,0.5,2.45,0,0.3,12.25,1/01/2018 0:49,1/01/2018 0:56,7
2,1,1.7,1,FALSE,229,262,1,7.5,0.5,0.5,2.64,0,0.3,11.44,1/01/2018 0:40,1/01/2018 0:47,7
1,1,0.6,1,FALSE,107,164,1,5,0.5,0.5,1.25,0,0.3,7.55,1/01/2018 0:52,1/01/2018 0:57,4
2,1,11.28,1,FALSE,264,264,2,33,0.5,0.5,0,0,0.3,34.3,1/01/2018 0:16,1/01/2018 0:40,23
2,1,10.53,1,FALSE,107,243,1,31.5,0.5,0.5,6.56,0,0.3,39.36,1/01/2018 0:02,1/01/2018 0:25,22
1,1,30.1,4,FALSE,48,265,2,119.5,0.5,0.5,0,0,0.3,120.8,1/01/2018 0:06,1/01/2018 0:50,43
2,1,0.89,1,FALSE,170,162,2,5.5,0.5,0.5,0,0,0.3,6.8,1/01/2018 0:48,1/01/2018 0:55,6
2,1,0.59,1,FALSE,236,236,1,4,0.5,0.5,1.59,0,0.3,6.89,1/01/2018 0:34,1/01/2018 0:36,2
1,2,2.5,1,FALSE,264,264,2,15.5,0.5,0.5,0,0,0.3,16.8,1/01/2018 0:46,1/01/2018 1:09,22
2,3,5.05,1,FALSE,255,233,1,18.5,0.5,0.5,3.96,0,0.3,23.76,1/01/2018 0:41,1/01/2018 1:03,21
1,1,3.4,1,FALSE,236,107,1,16.5,0.5,0.5,3.55,0,0.3,21.35,1/01/2018 0:55,1/01/2018 1:18,23
1,1,2.7,1,FALSE,170,48,2,21,0.5,0.5,0,0,0.3,22.3,1/01/2018 0:47,1/01/2018 1:21,34
2,1,16.4,1,FALSE,132,89,1,47.5,0.5,0.5,9.76,0,0.3,58.56,1/01/2018 0:50,1/01/2018 1:26,35
1,1,0.6,1,FALSE,100,100,3,3,0.5,0.5,0,0,0.3,4.3,1/01/2018 0:40,1/01/2018 0:42,1
2,1,3,1,FALSE,41,140,1,13,0.5,0.5,2.86,0,0.3,17.16,1/01/2018 0:32,1/01/2018 0:47,15
1,2,0.6,1,FALSE,161,162,2,4.5,0.5,0.5,0,0,0.3,5.8,1/01/2018 0:11,1/01/2018 0:15,3
2,1,0.37,1,FALSE,79,79,1,4,0.5,0.5,1.06,0,0.3,6.36,1/01/2018 0:38,1/01/2018 0:41,3
1,1,2.9,1,FALSE,48,234,1,13.5,0.5,0.5,3.7,0,0.3,18.5,1/01/2018 1:32,1/01/2018 1:51,19
1,1,0.6,1,FALSE,158,90,1,5,0.5,0.5,1.85,0,0.3,8.15,1/01/2018 1:26,1/01/2018 1:31,4
